symptoms,disease
"frequent urination, excessive thirst, fatigue, blurred vision","diabetes"
"headache, dizziness, chest pain, shortness of breath","hypertension"
"wheezing, shortness of breath, chest tightness, coughing","asthma"
"severe headache, nausea, sensitivity to light and sound","migraine"
"cough with phlegm, fever, chills, chest pain","pneumonia"
"nausea, vomiting, diarrhea, abdominal pain","gastroenteritis"
"high blood sugar, weight loss, increased hunger","diabetes"
"elevated blood pressure, nosebleeds, fatigue","hypertension"
"breathing difficulties, wheezing, chest congestion","asthma"
"throbbing headache, vomiting, light sensitivity","migraine"
"persistent cough, fever, difficulty breathing","pneumonia"
"stomach pain, vomiting, diarrhea, dehydration","gastroenteritis"
"excessive thirst, frequent urination, weight loss","diabetes"
"chest pain, shortness of breath, dizziness","hypertension"
"coughing, wheezing, chest tightness, trouble sleeping","asthma"
"pounding headache, nausea, visual disturbances","migraine"
"productive cough, fever, chest discomfort","pneumonia"
"abdominal cramps, nausea, loose stools","gastroenteritis"
"increased urination, excessive hunger, fatigue","diabetes"
"high blood pressure, headache, chest pressure","hypertension"
"breathing problems, wheezing, chest pain","asthma"
"severe head pain, sensitivity to light, nausea","migraine"
"cough with mucus, high fever, breathing difficulty","pneumonia"
"stomach upset, vomiting, diarrhea, fever","gastroenteritis"
"blood sugar spikes, frequent bathroom visits","diabetes"
"elevated pressure, dizziness, chest tightness","hypertension"
"respiratory distress, wheezing, coughing fits","asthma"
"intense headache, vomiting, light sensitivity","migraine"
"chest infection, fever, productive cough","pneumonia"
"gastrointestinal upset, nausea, diarrhea","gastroenteritis"
"glucose intolerance, excessive thirst, weight loss","diabetes"
"blood pressure elevation, headache, fatigue","hypertension"
"bronchial spasms, wheezing, shortness of breath","asthma"
"vascular headache, nausea, photophobia","migraine"
"lung infection, fever, chest pain, cough","pneumonia"
"stomach flu, vomiting, diarrhea, dehydration","gastroenteritis"
"insulin resistance, frequent urination, hunger","diabetes"
"arterial pressure, chest discomfort, dizziness","hypertension"
"airway obstruction, wheezing, breathing difficulty","asthma"
"cranial pain, nausea, sound sensitivity","migraine"
"respiratory infection, fever, chest congestion","pneumonia"
"viral gastroenteritis, nausea, loose stools","gastroenteritis"
